Nome;Descrição;Categoria;Colaborador;Localização;Status;Empresa;Valor (€);Marca;Modelo;Número de Série;Data de Compra;Data de Garantia;Data de Criação;Última Atualização
HP EliteDesk 800 G3 Mini;HP EliteDesk 800 G3 Mini PC Ordenador de sobremesa Intel i5-6400T RAM 8GB SSD 240GB Windows 10 Pro (reacondicionado);Equipamentos;;;Ativo;ProStoral;€ 125.00;HP;;PS0098202510;03/12/2024;;16/10/2025;16/10/2025
JOISCOPE Escalera Plegable de;JOISCOPE Escalera Plegable de 3 peldaños, Escalera de Tijera, Alfombra de Goma Antideslizante, Escalera de Acero para el hogar y la Oficina, Negra;Equipamentos;;;Ativo;ProStoral;€ 63.99;JOISCOPE;;PS0099202510;20/11/2024;;16/10/2025;16/10/2025
X9 Portátil, 1050MB/s,;Crucial X9 SSD 2TB Portátil, Hasta 1050MB/s, Compatible con PC, Mac, PlayStation y Xbox, Disco Duro Sólido Externo SSD, USB-C 3.2 - CT2000X9SSD902;Equipamentos;;;Ativo;ProStoral;€ 111.56;Crucial;;PS0100202510;14/11/2024;;16/10/2025;16/10/2025
X9 Portátil, 1050MB/s,;Crucial X9 SSD 2TB Portátil, Hasta 1050MB/s, Compatible con PC, Mac, PlayStation y Xbox, Disco Duro Sólido Externo SSD, USB-C 3.2 - CT2000X9SSD902;Equipamentos;;;Ativo;ProStoral;€ 111.56;Crucial;;PS0101202510;14/11/2024;;16/10/2025;16/10/2025
Apple Mac Mini Ordenador;Apple Mac Mini Ordenador de Mesa con Chip M4, CPU de 10 núcleos y GPU de 10 núcleos: diseñado para Apple Intelligence, 16 GB de Memoria unificada, SSD de 256GB, Gigabit Ethernet;Equipamentos;;;Ativo;ProStoral;€ 594.21;Apple;;PS0102202510;12/11/2024;;16/10/2025;16/10/2025
iPhone SE Gen, Negro -;Apple iPhone SE 2a Gen, 64GB, Negro - (Reacondicionado);Equipamentos;;;Ativo;ProStoral;€ 116.98;Apple;;PS0103202510;04/11/2024;;16/10/2025;16/10/2025
OUKITEL WP32 Móvil Rugerizado;OUKITEL WP32 Móvil Rugerizado - 6.0'' HD+ Pulgadas Movil Irrompible, Batería 6300mAh, 12GB+128GB(TF 1TB) Octa-Core Movil Todoterreno Android 13, 20MP+5MP, 3.5 mm, BT5.0, 90dB Altavoz, NFC, Verde;Equipamentos;;;Ativo;ProStoral;€ 100.09;OUKITEL;;PS0104202510;09/10/2024;;16/10/2025;16/10/2025
OUKITEL WP32 Móvil Rugerizado;OUKITEL WP32 Móvil Rugerizado - 6.0'' HD+ Pulgadas Movil Irrompible, Batería 6300mAh, 12GB+128GB(TF 1TB) Octa-Core Movil Todoterreno Android 13, 20MP+5MP, 3.5 mm, BT5.0, 90dB Altavoz, NFC, Verde;Equipamentos;;;Ativo;ProStoral;€ 100.09;OUKITEL;;PS0105202510;09/10/2024;;16/10/2025;16/10/2025
Loupedeck Live S: la;Loupedeck Live S: la Consola de transmisión para productividad de Escritorio, Control de Flujo Completo y creación de Contenido con Botones LED Personalizables de Pantalla táctil, diales y Botones;Equipamentos;;;Ativo;ProStoral;€ 131.40;Loupedeck;;PS0106202510;09/10/2024;;16/10/2025;16/10/2025
de Dibujo de Escritorio;Vinsetto Silla de Dibujo Giratoria Silla de Escritorio Alta con Respaldo Medio Soporte Lumbar Reposabrazos Abatibles Altura Ajustable Carga 120 kg 59x65x102-122 cm Negro;Equipamentos;;;Ativo;ProStoral;€ 97.48;Vinsetto;;PS0107202510;07/10/2024;;16/10/2025;16/10/2025
LUOLONG Lámpara de pared;LUOLONG Lámpara de pared larga LED, lámpara de pared para Villa, lámpara de pared del porche, luces de pared impermeables IP65 para exteriores, lámpara de pared larga negra-150CM,Warmes Licht;Equipamentos;;;Ativo;ProStoral;€ 117.64;LUOLONG;;PS0108202510;06/10/2024;;16/10/2025;16/10/2025
